Date,Short Volume,Total Volume,ticker
2012-09-21,56581.0,125802.0,COST
2012-09-24,36415.0,94274.0,COST
2012-09-25,49392.0,124362.0,COST
2012-09-26,51111.0,167780.0,COST
2012-09-27,81054.0,192451.0,COST
2012-09-28,60598.0,159902.0,COST
2012-10-01,59911.0,188868.0,COST
2012-10-02,42241.0,188620.0,COST
2012-10-03,54760.0,234828.0,COST
2012-10-04,48364.0,196469.0,COST
2012-10-05,33058.0,116991.0,COST
2012-10-08,20746.0,55986.0,COST
2012-10-09,65051.0,144752.0,COST
2012-10-10,207104.0,553540.0,COST
2012-10-11,173421.0,301879.0,COST
2012-10-12,322619.0,579215.0,COST
2012-10-15,124704.0,390018.0,COST
2012-10-16,124269.0,442018.0,COST
2012-10-17,98525.0,302589.0,COST
2012-10-18,64329.0,188889.0,COST
2012-10-19,112998.0,238196.0,COST
2012-10-22,76363.0,225737.0,COST
2012-10-23,106411.0,254139.0,COST
2012-10-24,116055.0,279603.0,COST
2012-10-25,85342.0,219328.0,COST
2012-10-26,125348.0,256460.0,COST
2012-10-31,126769.0,264266.0,COST
2012-11-01,95857.0,239358.0,COST
2012-11-02,76875.0,192932.0,COST
2012-11-05,84970.0,203975.0,COST
2012-11-06,75941.0,166966.0,COST
2012-11-07,132969.0,246893.0,COST
2012-11-08,138679.0,240663.0,COST
2012-11-09,100465.0,177417.0,COST
2012-11-12,51245.0,114210.0,COST
2012-11-13,74266.0,161024.0,COST
2012-11-14,111740.0,202405.0,COST
2012-11-15,141660.0,226776.0,COST
2012-11-16,146327.0,264426.0,COST
2012-11-19,133333.0,343325.0,COST
2012-11-20,77052.0,133894.0,COST
2012-11-21,24744.0,64148.0,COST
2012-11-23,18742.0,39007.0,COST
2012-11-26,56222.0,128716.0,COST
2012-11-27,107572.0,168880.0,COST
2012-11-28,330960.0,737721.0,COST
2012-11-29,164320.0,371696.0,COST
2012-11-30,189998.0,313040.0,COST
2012-12-03,221177.0,342746.0,COST
2012-12-04,126669.0,246072.0,COST
2012-12-05,203341.0,385408.0,COST
2012-12-06,253936.0,371131.0,COST
2012-12-07,161438.0,273848.0,COST
2012-12-10,106834.0,155195.0,COST
2012-12-11,148770.0,314718.0,COST
2012-12-12,215913.0,412636.0,COST
2012-12-13,85521.0,181663.0,COST
2012-12-14,75119.0,160524.0,COST
2012-12-17,114852.0,222100.0,COST
2012-12-18,112935.0,231201.0,COST
2012-12-19,107106.0,226279.0,COST
2012-12-20,92756.0,163001.0,COST
2012-12-21,166294.0,245811.0,COST
2012-12-24,81148.0,121036.0,COST
2012-12-26,116550.0,191311.0,COST
2012-12-27,136573.0,222388.0,COST
2012-12-28,89088.0,152207.0,COST
2012-12-31,186337.0,371030.0,COST
2013-01-02,203581.0,387321.0,COST
2013-01-03,262056.0,434378.0,COST
2013-01-04,130407.0,269959.0,COST
2013-01-07,115127.0,160230.0,COST
2013-01-08,125074.0,199410.0,COST
2013-01-09,100484.0,176998.0,COST
2013-01-10,131987.0,261428.0,COST
2013-01-11,86096.0,187050.0,COST
2013-01-14,73768.0,215086.0,COST
2013-01-15,85013.0,228881.0,COST
2013-01-16,40505.0,100032.0,COST
2013-01-17,109975.0,233408.0,COST
2013-01-18,69397.0,280836.0,COST
2013-01-22,66963.0,161158.0,COST
2013-01-23,85448.0,146341.0,COST
2013-01-24,72447.0,190072.0,COST
2013-01-25,79533.0,188401.0,COST
2013-01-28,69870.0,151920.0,COST
2013-01-29,127765.0,229206.0,COST
2013-01-30,110897.0,183381.0,COST
2013-01-31,86712.0,182903.0,COST
2013-02-01,114131.0,236316.0,COST
2013-02-04,148832.0,227011.0,COST
2013-02-05,100215.0,218595.0,COST
2013-02-06,142480.0,350693.0,COST
2013-02-07,241053.0,393205.0,COST
2013-02-08,66003.0,209918.0,COST
2013-02-11,85032.0,174727.0,COST
2013-02-12,59953.0,131180.0,COST
2013-02-13,53222.0,119207.0,COST
2013-02-14,84163.0,159086.0,COST
2013-02-15,233310.0,404898.0,COST
2013-02-19,105982.0,188154.0,COST
2013-02-20,87013.0,204536.0,COST
2013-02-21,123965.0,307246.0,COST
2013-02-22,63977.0,143610.0,COST
2013-02-25,133952.0,237082.0,COST
2013-02-26,210031.0,361435.0,COST
2013-02-27,152255.0,439310.0,COST
2013-02-28,101991.0,275816.0,COST
2013-03-01,126214.0,244630.0,COST
2013-03-04,133233.0,284654.0,COST
2013-03-05,114587.0,256089.0,COST
2013-03-06,57591.0,224406.0,COST
2013-03-07,123514.0,351298.0,COST
2013-03-08,84957.0,187456.0,COST
2013-03-11,70143.0,267378.0,COST
2013-03-12,105924.0,357896.0,COST
2013-03-13,69997.0,319537.0,COST
2013-03-14,64417.0,306370.0,COST
2013-03-15,43334.0,226635.0,COST
2013-03-18,129902.0,254741.0,COST
2013-03-19,138677.0,257063.0,COST
2013-03-20,118600.0,268298.0,COST
2013-03-21,115298.0,195054.0,COST
2013-03-22,86239.0,245121.0,COST
2013-03-25,152706.0,328660.0,COST
2013-03-26,83822.0,178921.0,COST
2013-03-27,138484.0,258096.0,COST
2013-03-28,59175.0,138698.0,COST
2013-04-01,56436.0,153049.0,COST
2013-04-02,110477.0,244549.0,COST
2013-04-03,95675.0,180858.0,COST
2013-04-04,93975.0,167293.0,COST
2013-04-05,73133.0,154823.0,COST
2013-04-08,38459.0,113353.0,COST
2013-04-09,86976.0,196014.0,COST
2013-04-10,80369.0,179742.0,COST
2013-04-11,59604.0,201586.0,COST
2013-04-12,79650.0,159590.0,COST
2013-04-15,107419.0,203528.0,COST
2013-04-16,163698.0,355894.0,COST
2013-04-17,174711.0,268603.0,COST
2013-04-18,165708.0,264424.0,COST
2013-04-19,149529.0,276913.0,COST
2013-04-22,102054.0,247161.0,COST
2013-04-23,71388.0,219035.0,COST
2013-04-24,130228.0,349585.0,COST
2013-04-25,121382.0,232622.0,COST
2013-04-26,120463.0,269325.0,COST
2013-04-29,78634.0,184397.0,COST
2013-04-30,60434.0,150293.0,COST
2013-05-01,40442.0,111703.0,COST
2013-05-02,47186.0,121451.0,COST
2013-05-03,39053.0,109465.0,COST
2013-05-06,41740.0,78615.0,COST
2013-05-07,61005.0,134187.0,COST
2013-05-08,51062.0,77154.0,COST
2013-05-09,56695.0,115494.0,COST
2013-05-10,51237.0,112070.0,COST
2013-05-13,84608.0,122919.0,COST
2013-05-14,94902.0,174223.0,COST
2013-05-15,111388.0,194116.0,COST
2013-05-16,56710.0,136185.0,COST
2013-05-17,77780.0,112193.0,COST
2013-05-20,61314.0,114565.0,COST
2013-05-21,53485.0,82832.0,COST
2013-05-22,77717.0,143321.0,COST
2013-05-23,99634.0,192787.0,COST
2013-05-24,96313.0,146550.0,COST
2013-05-28,92266.0,144761.0,COST
2013-05-29,42624.0,85867.0,COST
2013-05-30,170084.0,272456.0,COST
2013-05-31,96487.0,217602.0,COST
2013-06-03,82603.0,162655.0,COST
2013-06-04,107555.0,152292.0,COST
2013-06-05,119913.0,190082.0,COST
2013-06-06,146408.0,217126.0,COST
2013-06-07,93313.0,217820.0,COST
2013-06-10,75837.0,114571.0,COST
2013-06-11,59722.0,113755.0,COST
2013-06-12,71408.0,117549.0,COST
2013-06-13,75381.0,127757.0,COST
2013-06-14,69004.0,117165.0,COST
2013-06-17,101055.0,151869.0,COST
2013-06-18,49806.0,142880.0,COST
2013-06-19,89237.0,140639.0,COST
2013-06-20,150610.0,240293.0,COST
2013-06-21,100588.0,154334.0,COST
2013-06-24,112692.0,200266.0,COST
2013-06-25,81797.0,179871.0,COST
2013-06-26,60949.0,132547.0,COST
2013-06-27,39879.0,68169.0,COST
2013-06-28,76154.0,135394.0,COST
2013-07-01,41471.0,91781.0,COST
2013-07-02,68443.0,122380.0,COST
2013-07-03,41520.0,73272.0,COST
2013-07-05,46417.0,75423.0,COST
2013-07-08,41243.0,98656.0,COST
2013-07-09,41113.0,103395.0,COST
2013-07-10,50460.0,81155.0,COST
2013-07-11,75211.0,155402.0,COST
2013-07-12,101368.0,170644.0,COST
2013-07-15,59735.0,113293.0,COST
2013-07-16,73955.0,118481.0,COST
2013-07-17,121362.0,157221.0,COST
2013-07-18,59738.0,95752.0,COST
2013-07-19,80224.0,141368.0,COST
2013-07-22,54991.0,85507.0,COST
2013-07-23,70902.0,91415.0,COST
2013-07-24,61781.0,97994.0,COST
2013-07-25,49377.0,76711.0,COST
2013-07-26,51976.0,121397.0,COST
2013-07-29,40481.0,76826.0,COST
2013-07-30,39601.0,71186.0,COST
2013-07-31,65555.0,119985.0,COST
2013-08-01,36047.0,64216.0,COST
2013-08-02,76789.0,122310.0,COST
2013-08-05,67730.0,101023.0,COST
2013-08-06,39500.0,69651.0,COST
2013-08-07,38803.0,66745.0,COST
2013-08-08,99969.0,178753.0,COST
2013-08-09,51288.0,115855.0,COST
2013-08-12,37676.0,87180.0,COST
2013-08-13,31970.0,62860.0,COST
2013-08-14,41738.0,97497.0,COST
2013-08-15,51428.0,148757.0,COST
2013-08-16,56947.0,105899.0,COST
2013-08-19,73548.0,121756.0,COST
2013-08-20,37913.0,73531.0,COST
2013-08-21,46233.0,78892.0,COST
2013-08-22,19321.0,49981.0,COST
2013-08-23,61957.0,94841.0,COST
2013-08-26,37587.0,59918.0,COST
2013-08-27,60731.0,94244.0,COST
2013-08-28,53309.0,88732.0,COST
2013-08-29,92684.0,129018.0,COST
2013-08-30,87027.0,118635.0,COST
2013-09-03,81145.0,120884.0,COST
2013-09-04,56640.0,144324.0,COST
2013-09-05,188410.0,278671.0,COST
2013-09-06,149856.0,206944.0,COST
2013-09-09,103164.0,129874.0,COST
2013-09-10,98164.0,150108.0,COST
2013-09-11,115350.0,157818.0,COST
2013-09-12,73264.0,154983.0,COST
2013-09-13,87270.0,166042.0,COST
2013-09-16,79511.0,176604.0,COST
2013-09-17,58199.0,98646.0,COST
2013-09-18,91794.0,224717.0,COST
2013-09-19,57797.0,147481.0,COST
2013-09-20,57702.0,162672.0,COST
2013-09-23,56086.0,77504.0,COST
2013-09-24,47558.0,92346.0,COST
2013-09-25,48341.0,126040.0,COST
2013-09-26,31924.0,60418.0,COST
2013-09-27,20857.0,42401.0,COST
2013-09-30,59349.0,93466.0,COST
2013-10-01,40745.0,71504.0,COST
2013-10-02,33103.0,80838.0,COST
