seqNo,ticker,txDate,shortVol,totVol
303,COST,2012-03-15,150193,236317
304,COST,2012-03-16,151392,291327
305,COST,2012-03-19,153494,256730
306,COST,2012-03-20,144081,266512
307,COST,2012-03-21,122764,257889
308,COST,2012-03-22,173738,313982
309,COST,2012-03-23,137474,246903
310,COST,2012-03-26,110305,253302
311,COST,2012-03-27,112096,192002
312,COST,2012-03-28,129512,191373
313,COST,2012-03-29,142794,263888
314,COST,2012-03-30,178657,277436
315,COST,2012-04-02,192946,321353
316,COST,2012-04-03,223403,422333
317,COST,2012-04-04,159113,361973
318,COST,2012-04-05,133608,345896
319,COST,2012-04-09,155770,269114
320,COST,2012-04-10,228907,435541
321,COST,2012-04-11,166849,283123
322,COST,2012-04-12,112338,300043
323,COST,2012-04-13,154349,380121
324,COST,2012-04-16,87726,335712
325,COST,2012-04-17,75534,219612
326,COST,2012-04-18,141795,257961
327,COST,2012-04-19,188670,362083
328,COST,2012-04-20,197754,318386
329,COST,2012-04-23,183145,345805
330,COST,2012-04-24,124436,295719
331,COST,2012-04-25,139235,330398
332,COST,2012-04-26,249420,427883
333,COST,2012-04-27,91410,186154
334,COST,2012-04-30,82849,177829
335,COST,2012-05-01,133490,367285
336,COST,2012-05-02,85448,279814
337,COST,2012-05-03,206655,554744
338,COST,2012-05-04,109101,284690
339,COST,2012-05-07,78222,201112
340,COST,2012-05-08,91624,235439
341,COST,2012-05-09,62972,188101
342,COST,2012-05-10,92936,210552
343,COST,2012-05-11,114336,255646
344,COST,2012-05-14,95306,161220
345,COST,2012-05-15,93709,179979
346,COST,2012-05-16,123093,255792
347,COST,2012-05-17,155650,246095
348,COST,2012-05-18,117201,256054
349,COST,2012-05-21,82572,152233
350,COST,2012-05-22,100267,247400
351,COST,2012-05-23,138412,312503
352,COST,2012-05-24,189804,344859
353,COST,2012-05-25,95991,188621
354,COST,2012-05-29,157604,300923
355,COST,2012-05-30,179453,289573
356,COST,2012-05-31,153287,272601
357,COST,2012-06-01,219642,300565
358,COST,2012-06-04,153027,248664
359,COST,2012-06-05,118573,176211
360,COST,2012-06-06,93672,174451
361,COST,2012-06-07,106191,255395
362,COST,2012-06-08,91445,265818
363,COST,2012-06-11,79849,121232
364,COST,2012-06-12,71190,193444
365,COST,2012-06-13,44972,88599
366,COST,2012-06-14,219919,339310
367,COST,2012-06-15,178718,273229
368,COST,2012-06-18,79921,151817
369,COST,2012-06-19,90342,162156
370,COST,2012-06-20,78066,200551
371,COST,2012-06-21,234154,362039
372,COST,2012-06-22,65784,119721
373,COST,2012-06-25,128161,178859
374,COST,2012-06-26,173178,310053
375,COST,2012-06-27,151505,243310
376,COST,2012-06-28,367061,486250
377,COST,2012-06-29,123219,228399
378,COST,2012-07-02,123856,199310
379,COST,2012-07-03,44273,91478
380,COST,2012-07-05,80111,190286
381,COST,2012-07-06,66054,149189
382,COST,2012-07-09,56728,144818
383,COST,2012-07-10,83494,178225
384,COST,2012-07-11,60971,195186
385,COST,2012-07-12,85121,144423
386,COST,2012-07-13,54827,115388
387,COST,2012-07-16,69615,100498
388,COST,2012-07-17,87679,135748
389,COST,2012-07-18,60746,170635
390,COST,2012-07-19,69003,138911
391,COST,2012-07-20,75168,114454
392,COST,2012-07-23,95547,149377
393,COST,2012-07-24,94387,153915
394,COST,2012-07-25,80445,147767
395,COST,2012-07-26,81045,167760
396,COST,2012-07-27,85336,166840
397,COST,2012-07-30,71486,122373
398,COST,2012-07-31,37605,94130
399,COST,2012-08-01,316482,553366
400,COST,2012-08-02,71230,116076
401,COST,2012-08-03,82515,198866
402,COST,2012-08-06,45649,72476
403,COST,2012-08-07,60534,141036
404,COST,2012-08-08,43637,140982
405,COST,2012-08-09,26106,61675
406,COST,2012-08-10,32390,103854
407,COST,2012-08-13,27435,62708
408,COST,2012-08-14,38484,102345
409,COST,2012-08-15,55941,99710
410,COST,2012-08-16,48226,89835
411,COST,2012-08-17,48126,90148
412,COST,2012-08-20,51254,91086
413,COST,2012-08-21,62209,125167
414,COST,2012-08-22,30818,68993
415,COST,2012-08-23,34342,137360
416,COST,2012-08-24,65057,128629
417,COST,2012-08-27,66316,123064
418,COST,2012-08-28,50995,79187
419,COST,2012-08-29,71185,149864
420,COST,2012-08-30,181322,262283
421,COST,2012-08-31,78181,170671
422,COST,2012-09-04,61695,109610
423,COST,2012-09-05,59963,109977
424,COST,2012-09-06,86275,157140
425,COST,2012-09-07,50355,86957
426,COST,2012-09-10,97994,142445
427,COST,2012-09-11,75743,232802
428,COST,2012-09-12,111172,215765
429,COST,2012-09-13,127597,194067
430,COST,2012-09-14,127348,257003
431,COST,2012-09-17,42663,126704
432,COST,2012-09-18,74747,147910
433,COST,2012-09-19,44976,164727
434,COST,2012-09-20,54962,133499
435,COST,2012-09-21,56581,125802
436,COST,2012-09-24,36415,94274
437,COST,2012-09-25,49392,124362
438,COST,2012-09-26,51111,167780
439,COST,2012-09-27,81054,192451
440,COST,2012-09-28,60598,159902
441,COST,2012-10-01,59911,188868
442,COST,2012-10-02,42241,188620
443,COST,2012-10-03,54760,234828
444,COST,2012-10-04,48364,196469
445,COST,2012-10-05,33058,116991
446,COST,2012-10-08,20746,55986
447,COST,2012-10-09,65051,144752
448,COST,2012-10-10,207104,553540
449,COST,2012-10-11,173421,301879
450,COST,2012-10-12,322619,579215
451,COST,2012-10-15,124704,390018
452,COST,2012-10-16,124269,442018
453,COST,2012-10-17,98525,302589
454,COST,2012-10-18,64329,188889
455,COST,2012-10-19,112998,238196
456,COST,2012-10-22,76363,225737
457,COST,2012-10-23,106411,254139
458,COST,2012-10-24,116055,279603
459,COST,2012-10-25,85342,219328
460,COST,2012-10-26,125348,256460
461,COST,2012-10-31,126769,264266
462,COST,2012-11-01,95857,239358
463,COST,2012-11-02,76875,192932
464,COST,2012-11-05,84970,203975
465,COST,2012-11-06,75941,166966
466,COST,2012-11-07,132969,246893
467,COST,2012-11-08,138679,240663
468,COST,2012-11-09,100465,177417
