seqNo,ticker,txDate,shortVol,totVol
237,V,2011-12-08,82821,168056
238,V,2011-12-09,81460,184140
239,V,2011-12-12,81735,180232
240,V,2011-12-13,53911,159460
241,V,2011-12-14,187889,366172
242,V,2011-12-15,129765,326453
243,V,2011-12-16,141866,218478
244,V,2011-12-19,294753,400871
245,V,2011-12-20,202066,307457
246,V,2011-12-21,224564,356618
247,V,2011-12-22,97108,221036
248,V,2011-12-23,63615,109629
249,V,2011-12-27,55853,130579
250,V,2011-12-28,53040,120542
251,V,2011-12-29,72394,137868
252,V,2011-12-30,41394,110744
253,V,2012-01-03,100033,226884
254,V,2012-01-04,128759,259753
255,V,2012-01-05,186033,269569
256,V,2012-01-06,102490,247227
257,V,2012-01-09,180028,282549
258,V,2012-01-10,253623,368576
259,V,2012-01-11,186502,263663
260,V,2012-01-12,136159,241362
261,V,2012-01-13,88227,169750
262,V,2012-01-17,80849,187174
263,V,2012-01-18,76632,145837
264,V,2012-01-19,80728,167972
265,V,2012-01-20,110120,342725
266,V,2012-01-23,52708,201611
267,V,2012-01-24,45400,104496
268,V,2012-01-25,137462,273166
269,V,2012-01-26,76678,202719
270,V,2012-01-27,45712,125774
271,V,2012-01-30,72991,192080
272,V,2012-01-31,100901,308492
273,V,2012-02-01,66056,178420
274,V,2012-02-02,219883,491636
275,V,2012-02-03,73897,214859
276,V,2012-02-06,62149,136513
277,V,2012-02-07,53303,146458
278,V,2012-02-08,80530,220396
279,V,2012-02-09,167778,484818
280,V,2012-02-10,162106,279869
281,V,2012-02-13,94327,202944
282,V,2012-02-14,109354,193162
283,V,2012-02-15,112513,239240
284,V,2012-02-16,64769,203531
285,V,2012-02-17,53889,141956
286,V,2012-02-21,61210,127036
287,V,2012-02-22,75882,159410
288,V,2012-02-23,99851,202336
289,V,2012-02-24,70379,139181
290,V,2012-02-27,65008,211148
291,V,2012-02-28,89834,163280
292,V,2012-02-29,93660,203766
293,V,2012-03-01,124040,252928
294,V,2012-03-02,62212,198997
295,V,2012-03-05,56070,136117
296,V,2012-03-06,82013,194289
297,V,2012-03-07,61498,151815
298,V,2012-03-08,68347,136945
299,V,2012-03-09,86875,140037
300,V,2012-03-12,55462,117118
301,V,2012-03-13,64444,159491
302,V,2012-03-14,77221,162369
303,V,2012-03-15,72586,227487
304,V,2012-03-16,38253,97246
305,V,2012-03-19,245250,465285
306,V,2012-03-20,83025,262638
307,V,2012-03-21,56913,148989
308,V,2012-03-22,77604,154973
309,V,2012-03-23,52108,116110
310,V,2012-03-26,87440,287894
311,V,2012-03-27,59337,174396
312,V,2012-03-28,75093,168597
313,V,2012-03-29,33702,114346
314,V,2012-03-30,58642,143808
315,V,2012-04-02,72160,230973
316,V,2012-04-03,82236,187960
317,V,2012-04-04,59636,134624
318,V,2012-04-05,246820,418806
319,V,2012-04-09,120336,210043
320,V,2012-04-10,89640,170984
321,V,2012-04-11,62466,140608
322,V,2012-04-12,119153,218103
323,V,2012-04-13,179204,267666
324,V,2012-04-16,125060,285281
325,V,2012-04-17,62174,185736
326,V,2012-04-18,43990,103897
327,V,2012-04-19,54754,129921
328,V,2012-04-20,33729,91884
329,V,2012-04-23,89485,277841
330,V,2012-04-24,80899,156831
331,V,2012-04-25,66387,177634
332,V,2012-04-26,85018,214741
333,V,2012-04-27,37837,132917
334,V,2012-04-30,46183,83617
335,V,2012-05-01,73417,228815
336,V,2012-05-02,92125,358548
