seqNo,ticker,txDate,shortVol,totVol
446,MA,2012-10-08,17414,29702
447,MA,2012-10-09,20934,40691
448,MA,2012-10-10,13265,27661
449,MA,2012-10-11,72839,137562
450,MA,2012-10-12,25917,45018
451,MA,2012-10-15,24479,44741
452,MA,2012-10-16,14802,30935
453,MA,2012-10-17,18416,30852
454,MA,2012-10-18,21560,69143
455,MA,2012-10-19,27769,51667
456,MA,2012-10-22,28765,45547
457,MA,2012-10-23,14450,34055
458,MA,2012-10-24,19117,38851
459,MA,2012-10-25,19780,49706
460,MA,2012-10-26,19004,38571
461,MA,2012-10-31,42546,77381
462,MA,2012-11-01,33719,58786
463,MA,2012-11-02,24825,50628
464,MA,2012-11-05,13468,43231
465,MA,2012-11-06,15379,29495
466,MA,2012-11-07,15628,31961
467,MA,2012-11-08,35446,70469
468,MA,2012-11-09,26763,42307
469,MA,2012-11-12,21239,26639
470,MA,2012-11-13,22710,32476
471,MA,2012-11-14,16800,24828
472,MA,2012-11-15,20038,40339
473,MA,2012-11-16,37362,63045
474,MA,2012-11-19,24939,41732
475,MA,2012-11-20,28103,46292
476,MA,2012-11-21,9905,15114
477,MA,2012-11-23,4657,7612
478,MA,2012-11-26,14574,34705
479,MA,2012-11-27,12890,22657
480,MA,2012-11-28,17746,30743
481,MA,2012-11-29,27871,55733
482,MA,2012-11-30,26624,51757
483,MA,2012-12-03,21253,39801
484,MA,2012-12-04,40599,58499
485,MA,2012-12-05,21512,41762
486,MA,2012-12-06,22852,36111
487,MA,2012-12-07,16950,40260
488,MA,2012-12-10,18570,33477
489,MA,2012-12-11,51009,74871
490,MA,2012-12-12,35521,51401
491,MA,2012-12-13,20454,31721
492,MA,2012-12-14,15878,24578
493,MA,2012-12-17,19174,38028
494,MA,2012-12-18,21752,43265
495,MA,2012-12-19,12009,19279
496,MA,2012-12-20,22374,41456
497,MA,2012-12-21,20493,33736
498,MA,2012-12-24,6700,15119
499,MA,2012-12-26,8344,19933
500,MA,2012-12-27,18488,35015
501,MA,2012-12-28,11620,25208
502,MA,2012-12-31,15477,25752
503,MA,2013-01-02,35983,57432
504,MA,2013-01-03,18540,29033
505,MA,2013-01-04,50981,67443
506,MA,2013-01-07,36168,59405
507,MA,2013-01-08,23036,31045
508,MA,2013-01-09,33071,55532
509,MA,2013-01-10,39251,60501
510,MA,2013-01-11,16275,34968
511,MA,2013-01-14,20733,43144
512,MA,2013-01-15,13900,29922
513,MA,2013-01-16,16300,24983
514,MA,2013-01-17,10155,20320
515,MA,2013-01-18,26942,45819
516,MA,2013-01-22,25189,39379
517,MA,2013-01-23,9880,22897
518,MA,2013-01-24,12510,24879
519,MA,2013-01-25,10292,24292
520,MA,2013-01-28,10300,23323
521,MA,2013-01-29,21548,49542
522,MA,2013-01-30,20371,57264
523,MA,2013-01-31,56565,105728
524,MA,2013-02-01,27324,47654
525,MA,2013-02-04,15603,24933
526,MA,2013-02-05,11001,24199
527,MA,2013-02-06,17711,28341
528,MA,2013-02-07,20192,32876
529,MA,2013-02-08,13171,21903
530,MA,2013-02-11,14940,22540
531,MA,2013-02-12,6987,11987
532,MA,2013-02-13,9084,17343
533,MA,2013-02-14,16653,28001
534,MA,2013-02-15,15832,36937
535,MA,2013-02-19,7374,17292
536,MA,2013-02-20,13526,23933
537,MA,2013-02-21,17489,32713
538,MA,2013-02-22,24735,43863
539,MA,2013-02-25,34484,61605
540,MA,2013-02-26,25538,74790
541,MA,2013-02-27,38208,96568
542,MA,2013-02-28,17958,28909
543,MA,2013-03-01,7854,17723
544,MA,2013-03-04,11568,23286
545,MA,2013-03-05,18668,38604
546,MA,2013-03-06,27222,44723
547,MA,2013-03-07,34254,66090
548,MA,2013-03-08,17307,36914
549,MA,2013-03-11,7855,18930
550,MA,2013-03-12,10369,19322
551,MA,2013-03-13,11698,20709
552,MA,2013-03-14,23520,59221
553,MA,2013-03-15,22141,47925
554,MA,2013-03-18,10405,24381
555,MA,2013-03-19,17445,36741
556,MA,2013-03-20,9989,22042
557,MA,2013-03-21,25644,41900
